Sender,Receiver,score,Ligand,Receptor
Stroma,Endothelial,1.1159580939519796e-05,ADAM17,ITGA5
Tcell,Endothelial,8.637262671520797e-06,ADAM17,ITGA5
Bcell,Macrophage,4.120661178111073e-06,ADAM17,ITGA5
Endothelial,Macrophage,6.834709373236353e-06,ADAM17,ITGA5
Macrophage,Macrophage,8.829591709231337e-05,ADAM17,ITGA5
Malignant,Macrophage,1.4292199483417246e-06,ADAM17,ITGA5
Stroma,Macrophage,9.206142402395742e-06,ADAM17,ITGA5
Tcell,Macrophage,1.4267554286253232e-05,ADAM17,ITGA5
Bcell,Malignant,2.6590452485254456e-06,ADAM17,ITGA5
Endothelial,Malignant,2.5089607705289507e-06,ADAM17,ITGA5
Macrophage,Malignant,1.3518668108841694e-06,ADAM17,ITGA5
Malignant,Malignant,9.514945559538333e-06,ADAM17,ITGA5
Stroma,Malignant,2.105657843276864e-06,ADAM17,ITGA5
Tcell,Malignant,1.925051205392513e-06,ADAM17,ITGA5
Bcell,Stroma,1.099070932462097e-06,ADAM17,ITGA5
Endothelial,Stroma,1.2528487310043598e-05,ADAM17,ITGA5
Macrophage,Stroma,1.4899513628583096e-06,ADAM17,ITGA5
Malignant,Stroma,2.1847335854583657e-06,ADAM17,ITGA5
Stroma,Stroma,5.3797793167775695e-05,ADAM17,ITGA5
Tcell,Stroma,2.5621517312350056e-06,ADAM17,ITGA5
Bcell,Tcell,6.301638321783281e-05,ADAM17,ITGA5
Endothelial,Tcell,5.738880839377502e-05,ADAM17,ITGA5
Macrophage,Tcell,1.3255853139899002e-05,ADAM17,ITGA5
Malignant,Tcell,1.7365408026508885e-06,ADAM17,ITGA5
Stroma,Tcell,1.2638741579949673e-05,ADAM17,ITGA5
Tcell,Tcell,0.00020349666383950353,ADAM17,ITGA5
Bcell,Bcell,0.0009446528444733337,ADAM17,ITGB1
Endothelial,Bcell,5.1590849463986645e-05,ADAM17,ITGB1
Macrophage,Bcell,2.3569831166048192e-07,ADAM17,ITGB1
Malignant,Bcell,2.6239223644026196e-07,ADAM17,ITGB1
Stroma,Bcell,3.057415494058388e-05,ADAM17,ITGB1
Tcell,Bcell,4.587321871962652e-07,ADAM17,ITGB1
Bcell,Endothelial,4.75759586781586e-06,ADAM17,ITGB1
Endothelial,Endothelial,0.00055363070737925,ADAM17,ITGB1
Macrophage,Endothelial,2.7079688886982516e-06,ADAM17,ITGB1
Malignant,Endothelial,1.1362551949667584e-06,ADAM17,ITGB1
Stroma,Endothelial,7.251969609929344e-07,ADAM17,ITGB1
Tcell,Endothelial,1.679393355166237e-06,ADAM17,ITGB1
Bcell,Macrophage,2.557409910646526e-06,ADAM17,ITGB1
Endothelial,Macrophage,4.492935010380934e-06,ADAM17,ITGB1
Macrophage,Macrophage,0.00017689483156923118,ADAM17,ITGB1
Malignant,Macrophage,1.2845022181389034e-06,ADAM17,ITGB1
Stroma,Macrophage,3.5210492080263055e-06,ADAM17,ITGB1
Tcell,Macrophage,6.506807015964279e-06,ADAM17,ITGB1
Bcell,Malignant,4.3413476500656483e-07,ADAM17,ITGB1
Endothelial,Malignant,1.4249604956911165e-06,ADAM17,ITGB1
Macrophage,Malignant,4.825378895102551e-07,ADAM17,ITGB1
Malignant,Malignant,1.3695298883490575e-05,ADAM17,ITGB1
Stroma,Malignant,1.0071246226929426e-06,ADAM17,ITGB1
Tcell,Malignant,1.421049568594968e-06,ADAM17,ITGB1
Bcell,Stroma,1.525659626401661e-06,ADAM17,ITGB1
Endothelial,Stroma,1.1176640843530668e-05,ADAM17,ITGB1
Macrophage,Stroma,3.9542761718527636e-07,ADAM17,ITGB1
Malignant,Stroma,1.471811987754739e-06,ADAM17,ITGB1
Stroma,Stroma,0.00012023020938479698,ADAM17,ITGB1
Tcell,Stroma,3.5406873604264588e-06,ADAM17,ITGB1
Bcell,Tcell,8.352970517198093e-06,ADAM17,ITGB1
Endothelial,Tcell,3.867655155337908e-05,ADAM17,ITGB1
Macrophage,Tcell,2.8506166593657893e-06,ADAM17,ITGB1
Malignant,Tcell,1.0858309589601202e-06,ADAM17,ITGB1
Stroma,Tcell,6.210942166425309e-07,ADAM17,ITGB1
Tcell,Tcell,0.0004802476491495709,ADAM17,ITGB1
Bcell,Bcell,0.0009446528444733337,ADAM17,ITGB1
Endothelial,Bcell,5.1590849463986645e-05,ADAM17,ITGB1
Macrophage,Bcell,2.3569831166048192e-07,ADAM17,ITGB1
Malignant,Bcell,2.6239223644026196e-07,ADAM17,ITGB1
Stroma,Bcell,3.057415494058388e-05,ADAM17,ITGB1
Tcell,Bcell,4.587321871962652e-07,ADAM17,ITGB1
Bcell,Endothelial,4.75759586781586e-06,ADAM17,ITGB1
Endothelial,Endothelial,0.00055363070737925,ADAM17,ITGB1
Macrophage,Endothelial,2.7079688886982516e-06,ADAM17,ITGB1
Malignant,Endothelial,1.1362551949667584e-06,ADAM17,ITGB1
Stroma,Endothelial,7.251969609929344e-07,ADAM17,ITGB1
Tcell,Endothelial,1.679393355166237e-06,ADAM17,ITGB1
Bcell,Macrophage,2.557409910646526e-06,ADAM17,ITGB1
Endothelial,Macrophage,4.492935010380934e-06,ADAM17,ITGB1
Macrophage,Macrophage,0.00017689483156923118,ADAM17,ITGB1
Malignant,Macrophage,1.2845022181389034e-06,ADAM17,ITGB1
Stroma,Macrophage,3.5210492080263055e-06,ADAM17,ITGB1
Tcell,Macrophage,6.506807015964279e-06,ADAM17,ITGB1
Bcell,Malignant,4.3413476500656483e-07,ADAM17,ITGB1
Endothelial,Malignant,1.4249604956911165e-06,ADAM17,ITGB1
Macrophage,Malignant,4.825378895102551e-07,ADAM17,ITGB1
Malignant,Malignant,1.3695298883490575e-05,ADAM17,ITGB1
Stroma,Malignant,1.0071246226929426e-06,ADAM17,ITGB1
Tcell,Malignant,1.421049568594968e-06,ADAM17,ITGB1
Bcell,Stroma,1.525659626401661e-06,ADAM17,ITGB1
Endothelial,Stroma,1.1176640843530668e-05,ADAM17,ITGB1
Macrophage,Stroma,3.9542761718527636e-07,ADAM17,ITGB1
Malignant,Stroma,1.471811987754739e-06,ADAM17,ITGB1
Stroma,Stroma,0.00012023020938479698,ADAM17,ITGB1
Tcell,Stroma,3.5406873604264588e-06,ADAM17,ITGB1
Bcell,Tcell,8.352970517198093e-06,ADAM17,ITGB1
Endothelial,Tcell,3.867655155337908e-05,ADAM17,ITGB1
Macrophage,Tcell,2.8506166593657893e-06,ADAM17,ITGB1
Malignant,Tcell,1.0858309589601202e-06,ADAM17,ITGB1
Stroma,Tcell,6.210942166425309e-07,ADAM17,ITGB1
Tcell,Tcell,0.0004802476491495709,ADAM17,ITGB1
Bcell,Bcell,0.0003842552680461365,ADAM17,NOTCH1
Endothelial,Bcell,1.0536638507519153e-06,ADAM17,NOTCH1
Macrophage,Bcell,6.655761176839791e-06,ADAM17,NOTCH1
Malignant,Bcell,2.7189726858183876e-06,ADAM17,NOTCH1
Stroma,Bcell,2.731903430906174e-05,ADAM17,NOTCH1
Tcell,Bcell,3.3691343466092523e-09,ADAM17,NOTCH1
Bcell,Endothelial,9.119978971403764e-06,ADAM17,NOTCH1
Endothelial,Endothelial,0.00023233812604157535,ADAM17,NOTCH1
Macrophage,Endothelial,1.8788805322313356e-05,ADAM17,NOTCH1
Malignant,Endothelial,2.7213107194891096e-06,ADAM17,NOTCH1
Stroma,Endothelial,2.197259146455704e-05,ADAM17,NOTCH1
Tcell,Endothelial,3.264631090561335e-05,ADAM17,NOTCH1
Bcell,Macrophage,2.030543033323189e-05,ADAM17,NOTCH1
Endothelial,Macrophage,5.543755653553633e-06,ADAM17,NOTCH1
Macrophage,Macrophage,8.13314445644143e-05,ADAM17,NOTCH1
Malignant,Macrophage,2.005848962625655e-06,ADAM17,NOTCH1
Stroma,Macrophage,4.952854847699954e-06,ADAM17,NOTCH1
Tcell,Macrophage,2.6948185391349506e-06,ADAM17,NOTCH1
Bcell,Malignant,9.808823209343422e-07,ADAM17,NOTCH1
Endothelial,Malignant,1.9649064332656257e-06,ADAM17,NOTCH1
Macrophage,Malignant,1.4465024527031784e-06,ADAM17,NOTCH1
Malignant,Malignant,7.404756838633459e-06,ADAM17,NOTCH1
Stroma,Malignant,2.2291667767708728e-06,ADAM17,NOTCH1
Tcell,Malignant,2.161910255624359e-06,ADAM17,NOTCH1
Bcell,Stroma,9.519733055063764e-06,ADAM17,NOTCH1
Endothelial,Stroma,1.4322263720692656e-05,ADAM17,NOTCH1
Macrophage,Stroma,5.185133958162343e-06,ADAM17,NOTCH1
Malignant,Stroma,2.161492153396012e-06,ADAM17,NOTCH1
Stroma,Stroma,3.22206865072276e-05,ADAM17,NOTCH1
Tcell,Stroma,7.578797691320907e-07,ADAM17,NOTCH1
Bcell,Tcell,3.534870318545655e-05,ADAM17,NOTCH1
Endothelial,Tcell,1.7917415452610527e-05,ADAM17,NOTCH1
Macrophage,Tcell,1.2203536440620464e-06,ADAM17,NOTCH1
Malignant,Tcell,2.0696295463840014e-06,ADAM17,NOTCH1
Stroma,Tcell,1.9142151238959223e-05,ADAM17,NOTCH1
Tcell,Tcell,0.00018356744798012987,ADAM17,NOTCH1
Bcell,Bcell,0.0003842552680461365,ADAM17,NOTCH1
Endothelial,Bcell,1.0536638507519153e-06,ADAM17,NOTCH1
Macrophage,Bcell,6.655761176839791e-06,ADAM17,NOTCH1
Malignant,Bcell,2.7189726858183876e-06,ADAM17,NOTCH1
Stroma,Bcell,2.731903430906174e-05,ADAM17,NOTCH1
Tcell,Bcell,3.3691343466092523e-09,ADAM17,NOTCH1
Bcell,Endothelial,9.119978971403764e-06,ADAM17,NOTCH1
Endothelial,Endothelial,0.00023233812604157535,ADAM17,NOTCH1
Macrophage,Endothelial,1.8788805322313356e-05,ADAM17,NOTCH1
Malignant,Endothelial,2.7213107194891096e-06,ADAM17,NOTCH1
Stroma,Endothelial,2.197259146455704e-05,ADAM17,NOTCH1
Tcell,Endothelial,3.264631090561335e-05,ADAM17,NOTCH1
Bcell,Macrophage,2.030543033323189e-05,ADAM17,NOTCH1
Endothelial,Macrophage,5.543755653553633e-06,ADAM17,NOTCH1
Macrophage,Macrophage,8.13314445644143e-05,ADAM17,NOTCH1
Malignant,Macrophage,2.005848962625655e-06,ADAM17,NOTCH1
Stroma,Macrophage,4.952854847699954e-06,ADAM17,NOTCH1
Tcell,Macrophage,2.6948185391349506e-06,ADAM17,NOTCH1
Bcell,Malignant,9.808823209343422e-07,ADAM17,NOTCH1
Endothelial,Malignant,1.9649064332656257e-06,ADAM17,NOTCH1
Macrophage,Malignant,1.4465024527031784e-06,ADAM17,NOTCH1
Malignant,Malignant,7.404756838633459e-06,ADAM17,NOTCH1
Stroma,Malignant,2.2291667767708728e-06,ADAM17,NOTCH1
Tcell,Malignant,2.161910255624359e-06,ADAM17,NOTCH1
Bcell,Stroma,9.519733055063764e-06,ADAM17,NOTCH1
Endothelial,Stroma,1.4322263720692656e-05,ADAM17,NOTCH1
Macrophage,Stroma,5.185133958162343e-06,ADAM17,NOTCH1
Malignant,Stroma,2.161492153396012e-06,ADAM17,NOTCH1
Stroma,Stroma,3.22206865072276e-05,ADAM17,NOTCH1
Tcell,Stroma,7.578797691320907e-07,ADAM17,NOTCH1
Bcell,Tcell,3.534870318545655e-05,ADAM17,NOTCH1
Endothelial,Tcell,1.7917415452610527e-05,ADAM17,NOTCH1
Macrophage,Tcell,1.2203536440620464e-06,ADAM17,NOTCH1
Malignant,Tcell,2.0696295463840014e-06,ADAM17,NOTCH1
Stroma,Tcell,1.9142151238959223e-05,ADAM17,NOTCH1
Tcell,Tcell,0.00018356744798012987,ADAM17,NOTCH1
Bcell,Bcell,0.0003842552680461365,ADAM17,NOTCH1
Endothelial,Bcell,1.0536638507519153e-06,ADAM17,NOTCH1
Macrophage,Bcell,6.655761176839791e-06,ADAM17,NOTCH1
Malignant,Bcell,2.7189726858183876e-06,ADAM17,NOTCH1
Stroma,Bcell,2.731903430906174e-05,ADAM17,NOTCH1
Tcell,Bcell,3.3691343466092523e-09,ADAM17,NOTCH1
Bcell,Endothelial,9.119978971403764e-06,ADAM17,NOTCH1
Endothelial,Endothelial,0.00023233812604157535,ADAM17,NOTCH1
Macrophage,Endothelial,1.8788805322313356e-05,ADAM17,NOTCH1
Malignant,Endothelial,2.7213107194891096e-06,ADAM17,NOTCH1
Stroma,Endothelial,2.197259146455704e-05,ADAM17,NOTCH1
Tcell,Endothelial,3.264631090561335e-05,ADAM17,NOTCH1
Bcell,Macrophage,2.030543033323189e-05,ADAM17,NOTCH1
Endothelial,Macrophage,5.543755653553633e-06,ADAM17,NOTCH1
Macrophage,Macrophage,8.13314445644143e-05,ADAM17,NOTCH1
Malignant,Macrophage,2.005848962625655e-06,ADAM17,NOTCH1
Stroma,Macrophage,4.952854847699954e-06,ADAM17,NOTCH1
Tcell,Macrophage,2.6948185391349506e-06,ADAM17,NOTCH1
Bcell,Malignant,9.808823209343422e-07,ADAM17,NOTCH1
Endothelial,Malignant,1.9649064332656257e-06,ADAM17,NOTCH1
Macrophage,Malignant,1.4465024527031784e-06,ADAM17,NOTCH1
Malignant,Malignant,7.404756838633459e-06,ADAM17,NOTCH1
Stroma,Malignant,2.2291667767708728e-06,ADAM17,NOTCH1
Tcell,Malignant,2.161910255624359e-06,ADAM17,NOTCH1
Bcell,Stroma,9.519733055063764e-06,ADAM17,NOTCH1
Endothelial,Stroma,1.4322263720692656e-05,ADAM17,NOTCH1
Macrophage,Stroma,5.185133958162343e-06,ADAM17,NOTCH1
Malignant,Stroma,2.161492153396012e-06,ADAM17,NOTCH1
Stroma,Stroma,3.22206865072276e-05,ADAM17,NOTCH1
Tcell,Stroma,7.578797691320907e-07,ADAM17,NOTCH1
Bcell,Tcell,3.534870318545655e-05,ADAM17,NOTCH1
Endothelial,Tcell,1.7917415452610527e-05,ADAM17,NOTCH1
Macrophage,Tcell,1.2203536440620464e-06,ADAM17,NOTCH1
Malignant,Tcell,2.0696295463840014e-06,ADAM17,NOTCH1
Stroma,Tcell,1.9142151238959223e-05,ADAM17,NOTCH1
Tcell,Tcell,0.00018356744798012987,ADAM17,NOTCH1
Bcell,Bcell,0.00018382562254038083,ANGPT2,ITGA5
Endothelial,Bcell,0.0,ANGPT2,ITGA5
Macrophage,Bcell,8.006756094530585e-06,ANGPT2,ITGA5
Malignant,Bcell,7.8960379750294e-07,ANGPT2,ITGA5
Stroma,Bcell,2.93102916969972e-09,ANGPT2,ITGA5
Tcell,Bcell,1.6097833010015287e-08,ANGPT2,ITGA5
Bcell,Endothelial,5.3699333826792525e-05,ANGPT2,ITGA5
Endothelial,Endothelial,0.00017855962201940285,ANGPT2,ITGA5
Macrophage,Endothelial,2.1772220042650932e-06,ANGPT2,ITGA5
Malignant,Endothelial,4.1992231221910523e-07,ANGPT2,ITGA5
Stroma,Endothelial,5.885658508998523e-06,ANGPT2,ITGA5
Tcell,Endothelial,5.2085036447618324e-08,ANGPT2,ITGA5
Bcell,Macrophage,4.856773662787299e-07,ANGPT2,ITGA5
Endothelial,Macrophage,6.8899392720505106e-09,ANGPT2,ITGA5
Macrophage,Macrophage,3.213929986186825e-05,ANGPT2,ITGA5
Malignant,Macrophage,1.7829424270426994e-07,ANGPT2,ITGA5
Stroma,Macrophage,1.4736935187349573e-06,ANGPT2,ITGA5
Tcell,Macrophage,3.4090962200880135e-08,ANGPT2,ITGA5
Bcell,Malignant,1.8397360598952289e-06,ANGPT2,ITGA5
Endothelial,Malignant,4.516110131125642e-07,ANGPT2,ITGA5
Macrophage,Malignant,7.907745502994294e-07,ANGPT2,ITGA5
Malignant,Malignant,3.5749101925681414e-06,ANGPT2,ITGA5
Stroma,Malignant,6.992457841869383e-07,ANGPT2,ITGA5
Tcell,Malignant,9.64118578216097e-07,ANGPT2,ITGA5
Bcell,Stroma,5.351600640109018e-06,ANGPT2,ITGA5
Endothelial,Stroma,2.521461257312716e-06,ANGPT2,ITGA5
Macrophage,Stroma,1.2730220644979956e-06,ANGPT2,ITGA5
Malignant,Stroma,1.1189792984360723e-06,ANGPT2,ITGA5
Stroma,Stroma,1.6176842054969032e-05,ANGPT2,ITGA5
Tcell,Stroma,1.4887598012471538e-10,ANGPT2,ITGA5
Bcell,Tcell,1.001300890241639e-06,ANGPT2,ITGA5
Endothelial,Tcell,1.668905578560818e-06,ANGPT2,ITGA5
Macrophage,Tcell,9.259424216450773e-06,ANGPT2,ITGA5
Malignant,Tcell,1.5056551207882364e-07,ANGPT2,ITGA5
Stroma,Tcell,9.731541065309752e-06,ANGPT2,ITGA5
Tcell,Tcell,8.989652988431737e-05,ANGPT2,ITGA5
Bcell,Bcell,0.00042749516327220816,ANGPT2,ITGB1
Endothelial,Bcell,6.6869362870606785e-09,ANGPT2,ITGB1
Macrophage,Bcell,4.5502702178582e-06,ANGPT2,ITGB1
Malignant,Bcell,4.720687117216719e-08,ANGPT2,ITGB1
Stroma,Bcell,2.9473850922892267e-06,ANGPT2,ITGB1
Tcell,Bcell,1.5243416745168537e-06,ANGPT2,ITGB1
Bcell,Endothelial,3.934494926477798e-05,ANGPT2,ITGB1
Endothelial,Endothelial,0.00012357837947227904,ANGPT2,ITGB1
Macrophage,Endothelial,1.5756454496828729e-06,ANGPT2,ITGB1
Malignant,Endothelial,5.743938182317886e-07,ANGPT2,ITGB1
Stroma,Endothelial,2.880218648371138e-07,ANGPT2,ITGB1
Tcell,Endothelial,1.113428495669298e-07,ANGPT2,ITGB1
Bcell,Macrophage,1.7325278062921336e-07,ANGPT2,ITGB1
Endothelial,Macrophage,7.918511214040573e-06,ANGPT2,ITGB1
Macrophage,Macrophage,7.832614531392173e-05,ANGPT2,ITGB1
Malignant,Macrophage,7.074509436774256e-08,ANGPT2,ITGB1
Stroma,Macrophage,8.333956307837706e-08,ANGPT2,ITGB1
Tcell,Macrophage,5.205503770992241e-08,ANGPT2,ITGB1
Bcell,Malignant,8.658152493400912e-07,ANGPT2,ITGB1
Endothelial,Malignant,3.6625609132246054e-08,ANGPT2,ITGB1
Macrophage,Malignant,2.087314832001836e-07,ANGPT2,ITGB1
Malignant,Malignant,5.229289024244789e-06,ANGPT2,ITGB1
Stroma,Malignant,5.795531506237854e-08,ANGPT2,ITGB1
Tcell,Malignant,6.83760900843381e-08,ANGPT2,ITGB1
Bcell,Stroma,8.493099103005289e-06,ANGPT2,ITGB1
Endothelial,Stroma,5.4925741160340374e-06,ANGPT2,ITGB1
Macrophage,Stroma,1.991076215226789e-07,ANGPT2,ITGB1
Malignant,Stroma,5.568932206250935e-07,ANGPT2,ITGB1
Stroma,Stroma,4.1061036075763e-05,ANGPT2,ITGB1
Tcell,Stroma,8.929556867623954e-08,ANGPT2,ITGB1
Bcell,Tcell,2.129651525306327e-07,ANGPT2,ITGB1
Endothelial,Tcell,3.3776641866245607e-07,ANGPT2,ITGB1
Macrophage,Tcell,3.388046345735948e-06,ANGPT2,ITGB1
Malignant,Tcell,1.8195195051283447e-07,ANGPT2,ITGB1
Stroma,Tcell,2.851469829506071e-06,ANGPT2,ITGB1
Tcell,Tcell,0.00017443704416467953,ANGPT2,ITGB1
Bcell,Bcell,0.0002325738198503222,ANGPTL2,ITGA5
Endothelial,Bcell,1.8470863513580598e-05,ANGPTL2,ITGA5
Macrophage,Bcell,1.2786959647816506e-05,ANGPTL2,ITGA5
Malignant,Bcell,1.5469617426602363e-07,ANGPTL2,ITGA5
Stroma,Bcell,6.765393873413325e-07,ANGPTL2,ITGA5
Tcell,Bcell,6.772924727914092e-06,ANGPTL2,ITGA5
Bcell,Endothelial,0.0,ANGPTL2,ITGA5
Endothelial,Endothelial,0.00019220196168026775,ANGPTL2,ITGA5
Macrophage,Endothelial,1.1705700681147773e-06,ANGPTL2,ITGA5
Malignant,Endothelial,1.119343511276467e-06,ANGPTL2,ITGA5
Stroma,Endothelial,7.535311130843715e-06,ANGPTL2,ITGA5
Tcell,Endothelial,5.363445069138179e-07,ANGPTL2,ITGA5
Bcell,Macrophage,4.1966680086811664e-07,ANGPTL2,ITGA5
Endothelial,Macrophage,2.399956537237741e-06,ANGPTL2,ITGA5
Macrophage,Macrophage,8.968106438934182e-05,ANGPTL2,ITGA5
Malignant,Macrophage,1.6191864099674235e-06,ANGPTL2,ITGA5
Stroma,Macrophage,1.9112881570458376e-06,ANGPTL2,ITGA5
Tcell,Macrophage,6.518350312101745e-07,ANGPTL2,ITGA5
Bcell,Malignant,5.0012781536803873e-08,ANGPTL2,ITGA5
Endothelial,Malignant,1.1537901542782342e-06,ANGPTL2,ITGA5
Macrophage,Malignant,1.2983538181275444e-06,ANGPTL2,ITGA5
Malignant,Malignant,8.52832804523959e-06,ANGPTL2,ITGA5
Stroma,Malignant,2.3440607698837167e-06,ANGPTL2,ITGA5
Tcell,Malignant,5.590502941310972e-07,ANGPTL2,ITGA5
Bcell,Stroma,8.843513325598721e-06,ANGPTL2,ITGA5
Endothelial,Stroma,1.478391583664185e-06,ANGPTL2,ITGA5
Macrophage,Stroma,4.251007408487615e-06,ANGPTL2,ITGA5
Malignant,Stroma,1.7517834914925993e-06,ANGPTL2,ITGA5
Stroma,Stroma,6.024493816788576e-05,ANGPTL2,ITGA5
Tcell,Stroma,1.7095572757098945e-08,ANGPTL2,ITGA5
Bcell,Tcell,1.3266292965162832e-06,ANGPTL2,ITGA5
Endothelial,Tcell,2.459854413611273e-05,ANGPTL2,ITGA5
Macrophage,Tcell,7.570063790698982e-06,ANGPTL2,ITGA5
Malignant,Tcell,1.130105960162618e-06,ANGPTL2,ITGA5
Stroma,Tcell,8.098937870733219e-08,ANGPTL2,ITGA5
Tcell,Tcell,0.00021073366842605398,ANGPTL2,ITGA5
Bcell,Bcell,0.0002325738198503222,ANGPTL2,ITGA5
Endothelial,Bcell,1.8470863513580598e-05,ANGPTL2,ITGA5
Macrophage,Bcell,1.2786959647816506e-05,ANGPTL2,ITGA5
Malignant,Bcell,1.5469617426602363e-07,ANGPTL2,ITGA5
Stroma,Bcell,6.765393873413325e-07,ANGPTL2,ITGA5
Tcell,Bcell,6.772924727914092e-06,ANGPTL2,ITGA5
Bcell,Endothelial,0.0,ANGPTL2,ITGA5
